epoch,loss,policy_acc,policy_loss,val_loss,val_policy_acc,val_policy_loss,val_value_acc,val_value_loss,value_acc,value_loss
30,3.3335637117767334,0.30713,3.0934753,3.26898487197876,0.31861,3.0286899,0.60149,0.2397969,0.60301,0.23949914
31,3.135508754272461,0.33217,2.895122,3.253781651687622,0.31519,3.0134482,0.60149,0.23979507,0.60301,0.23950332
32,2.973193643836975,0.35545,2.732543,3.2773936491394045,0.31111,3.0370421,0.60149,0.2397994,0.60301,0.23951353
33,2.8137321883010866,0.38133,2.5725873,3.3453708740234376,0.30375,3.1050272,0.60149,0.23978996,0.60301,0.23950064
34,2.663222687988281,0.40778,2.4221199,3.4240066678619385,0.29832,3.1835968,0.60149,0.2397846,0.60301,0.23951386
35,3.2962576358032227,0.31202,3.0563478,3.215590528411865,0.32324,2.9753025,0.60149,0.23968628,0.60274,0.23957528
36,3.1142453715515135,0.33574,2.8741717,3.215255991973877,0.32214,2.9749699,0.60149,0.23968634,0.60274,0.23956312
37,2.958235574417114,0.35766,2.7177258,3.2389199044799803,0.32127,2.998625,0.60149,0.23968558,0.60274,0.23956992
38,2.811089226074219,0.38157,2.5702643,3.286547261428833,0.31717,3.0461686,0.60149,0.23968719,0.60274,0.23956038
39,2.6649455828857422,0.4076,2.4238822,3.372053692855835,0.31149,3.1316686,0.60149,0.23968734,0.60274,0.23956975
40,3.2692770417785644,0.31401,3.0299504,3.1683165045166017,0.32578,2.9281406,0.60149,0.23974572,0.60505,0.23904552
41,3.088432049026489,0.33957,2.8488474,3.1712680220794676,0.32758,2.9310427,0.60149,0.2397285,0.60505,0.2390448
42,2.9390028914260866,0.36036,2.6990077,3.196428173980713,0.32355,2.9562511,0.60149,0.23974623,0.60505,0.23904486
43,2.7934829443359375,0.38456,2.5532532,3.2509524313354494,0.32052,3.0107915,0.60149,0.23973726,0.60505,0.23904262
44,2.6550903062438964,0.40774,2.414702,3.314463593673706,0.3169,3.0743735,0.60149,0.23974627,0.60505,0.23904127
45,3.2315207414245606,0.31986,2.9922907,3.1636507930755617,0.32585,2.9232974,0.60149,0.23986307,0.60341,0.2394502
46,3.058706735687256,0.34268,2.8189225,3.155328391494751,0.32466,2.91494,0.60149,0.23985618,0.60341,0.23948696
47,2.9193455032348634,0.36201,2.6793485,3.1769337519836425,0.32138,2.936466,0.60149,0.23985122,0.60341,0.23945247
48,2.7771253743743896,0.38679,2.5368247,3.222020235671997,0.31641,2.9816148,0.60149,0.23985234,0.60341,0.23946173
49,2.6387566733551027,0.41162,2.3981538,3.292159817352295,0.31289,3.051825,0.60149,0.2398459,0.60341,0.23945075
